date,beneficiary,account_type,bucket,value_gbp,original_investment_gbp,gain_loss_gbp,gain_loss_pct
2024-03-31,Alex,Broker GIA,GIA,0.00,0.00,0.00,0.00
2024-03-31,Alex,Workplace Pension,SIPP,14500.00,13000.00,1500.00,11.54
2024-03-31,Alex,Broker ISA,ISA,21000.00,18000.00,3000.00,16.67
2024-03-31,Sam,Junior ISA,Junior ISA,4200.00,3800.00,400.00,10.53
2024-03-31,Alex,Savings Account,Savings,9800.00,9800.00,0.00,0.00
2024-10-23,Alex,Workplace Pension,SIPP,18900.00,17000.00,1900.00,11.18
2024-10-23,Alex,Broker ISA,ISA,26500.00,23000.00,3500.00,15.22
2024-10-23,Sam,Junior ISA,Junior ISA,4900.00,4300.00,600.00,13.95
2024-10-23,Alex,Savings Account,Savings,12300.00,12300.00,0.00,0.00
2025-02-22,Alex,Workplace Pension,SIPP,21400.00,18500.00,2900.00,15.68
2025-02-22,Alex,Savings Account,Savings,15100.00,15100.00,0.00,0.00
2025-02-22,Alex,Broker ISA,ISA,29800.00,25000.00,4800.00,19.20
2025-02-22,Sam,Junior ISA,Junior ISA,7100.00,6200.00,900.00,14.52
2025-02-22,Sam,Junior SIPP,Junior SIPP,900.00,900.00,0.00,0.00
2025-05-21,Alex,Workplace Pension,SIPP,23100.00,20500.00,2600.00,12.68
2025-05-21,Alex,Broker GIA,GIA,600.00,600.00,0.00,0.00
2025-05-21,Alex,Broker ISA,ISA,31200.00,27000.00,4200.00,15.56
2025-05-21,Alex,Savings Account,Savings,11000.00,11000.00,0.00,0.00
2025-10-20,Alex,Broker GIA,GIA,750.00,600.00,150.00,25.00
2025-10-20,Alex,Workplace Pension,SIPP,27300.00,23500.00,3800.00,16.17
2025-10-20,Sam,Junior ISA,Junior ISA,8400.00,6800.00,1600.00,23.53
2025-10-20,Sam,Junior SIPP,Junior SIPP,1250.00,900.00,350.00,38.89
2025-10-20,Alex,Workplace Pension 2,SIPP,9000.00,8000.00,1000.00,12.50
2025-10-20,Alex,Broker ISA,ISA,35700.00,29000.00,6700.00,23.10
2026-08-13,Alex,Broker SIPP,SIPP,28000.00,22000.00,6000.00,27.27
2026-08-13,Alex,Broker ISA,ISA,42000.00,34000.00,8000.00,23.53
2026-08-13,Alex,Broker GIA,GIA,11500.00,10800.00,700.00,6.48
2026-08-13,Alex,Workplace Pension,SIPP,32400.00,26800.00,5600.00,20.90
2026-08-13,Alex,Savings Account,Savings,9200.00,9200.00,0.00,0.00
2026-08-17,Sam,Junior SIPP,Junior SIPP,2600.00,2000.00,600.00,30.00
2026-08-17,Robin,Junior SIPP,Junior SIPP,1500.00,1200.00,300.00,25.00
2026-08-17,Sam,Junior ISA,Junior ISA,11800.00,9500.00,2300.00,24.21
2026-08-17,Robin,Junior ISA,Junior ISA,4300.00,4000.00,300.00,7.50
