company,year,month,taxable_pay_gbp,pension_employee_gbp,gia_employee_gbp,pension_employer_gbp,gia_employer_gbp,net_pay_gbp,ni_gbp,overall_bank_payment_gbp
Acme Corp,2024,9,4200.00,210.00,,150.00,,3210.50,285.40,3210.50
Acme Corp,2024,10,4200.00,210.00,,150.00,,3210.50,285.40,3210.50
Acme Corp,2024,11,4200.00,210.00,,150.00,,3210.50,285.40,3210.50
Acme Corp,2024,12,4200.00,210.00,,150.00,,3210.50,285.40,3210.50
Acme Corp,2025,1,4350.00,217.50,,155.00,,3305.20,298.10,3305.20
Acme Corp,2025,2,4350.00,217.50,,155.00,,3305.20,298.10,3305.20
Acme Corp,2025,3,4350.00,217.50,,155.00,,3305.20,298.10,3305.20
Acme Corp,2025,4,4500.00,225.00,0.00,160.00,0.00,3410.75,312.60,3410.75
Acme Corp,2025,5,4500.00,225.00,0.00,160.00,0.00,3410.75,312.60,3410.75
Acme Corp,2025,6,4500.00,225.00,0.00,160.00,0.00,3410.75,312.60,3410.75
Acme Corp,2025,7,4500.00,225.00,0.00,160.00,0.00,3410.75,312.60,9410.75
Acme Corp,2025,8,4500.00,225.00,0.00,160.00,0.00,3410.75,312.60,3410.75
Acme Corp,2025,9,4650.00,232.50,0.00,165.00,0.00,3512.90,326.80,3512.90
Acme Corp,2025,10,4650.00,232.50,0.00,165.00,0.00,3512.90,326.80,3512.90
Acme Corp,2025,11,4650.00,232.50,0.00,165.00,0.00,3512.90,326.80,3512.90
Acme Corp,2025,12,4650.00,232.50,0.00,165.00,0.00,3512.90,326.80,3512.90
Acme Corp,2026,1,4800.00,240.00,0.00,170.00,0.00,3618.40,341.20,3618.40
Acme Corp,2026,2,4800.00,240.00,0.00,170.00,0.00,3618.40,341.20,3618.40
Acme Corp,2026,3,4800.00,240.00,0.00,170.00,0.00,3618.40,341.20,3618.40
Acme Corp,2026,4,4800.00,0.00,240.00,0.00,170.00,3618.40,341.20,3618.40
Acme Corp,2026,5,4950.00,0.00,247.50,0.00,175.00,3720.15,356.90,3720.15
Acme Corp,2026,6,4950.00,0.00,247.50,0.00,175.00,3720.15,356.90,10720.15
Acme Corp,2026,7,4950.00,0.00,247.50,0.00,175.00,3720.15,356.90,3720.15
Acme Corp,2026,8,4950.00,0.00,247.50,0.00,175.00,3720.15,356.90,3720.15
